"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,unknown,26,78,6,,6,THB,12.38464889,5,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,unknown,17,45,1,,2,THB,12.38464889,1,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,unknown,46,65,1,,1,THB,8.94324496,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,unknown,9,13,,,0,THB,4.77335455,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",65+,unknown,10,14,,,0,THB,2.62095098,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,unknown,8,18,,,0,THB,1.9206969,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",25-34,unknown,216,248,,,0,THB,1.75193129,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",35-44,unknown,184,213,,,0,THB,1.39153399,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",45-54,unknown,174,199,,,0,THB,1.1712912,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",55-64,unknown,95,109,,,0,THB,0.75082769,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",65+,unknown,69,86,,,0,THB,0.58064008,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",65+,unknown,1,1,,,0,THB,0.11030861,,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",Unknown,unknown,0,0,,,0,THB,0,,,,,,1,2026-08-01,2026-08-10
