"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",65+,female,1258,2057,131,,122,THB,186.00029217,123,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",45-54,female,3104,4917,1471,,354,THB,185.31317691,342,,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",55-64,female,1122,2172,45,,5,THB,178.50888426,41,,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",65+,male,1193,1909,108,,100,THB,170.57778044,103,1,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",55-64,female,2623,4371,1507,,304,THB,164.2728162,282,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",65+,male,2407,4888,1657,,423,THB,161.10276186,403,,2,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",55-64,male,731,1565,29,,0,THB,159.28900439,29,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",45-54,female,2167,3546,43,,10,THB,155.04,35,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",65+,male,861,1635,33,,6,THB,128.39919746,28,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",45-54,male,1693,2748,38,,8,THB,121.31,32,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",45-54,female,1282,3138,289,,1,THB,116.66899986,110,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",25-34,unknown,697,1308,31,,2,THB,112.4092974,29,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",65+,female,1657,2773,1017,1,187,THB,108.59186164,177,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",45-54,male,1131,2702,425,,3,THB,102.6191203,147,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",65+,female,881,2526,212,,0,THB,82.47929295,78,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",65+,female,1203,2066,22,,2,THB,71.45,22,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",55-64,female,921,1551,16,,5,THB,65.43,13,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",65+,male,640,1879,170,,0,THB,63.1794584,68,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",65+,male,778,1326,13,,1,THB,50.92,12,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",25-34,unknown,453,1127,107,,2,THB,47.65959144,57,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",35-44,unknown,150,351,11,,2,THB,47.41970361,10,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",55-64,male,639,1114,16,,3,THB,47.14,13,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",55-64,female,517,1504,125,,1,THB,45.01961407,35,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",55-64,male,475,1212,197,,0,THB,40.24965496,57,,,,,2026-02-01,2026-02-28
