"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",45-54,male,182,264,13,,19,THB,44.94212652,10,,,8,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",65+,female,115,231,37,,2,THB,43.88798214,36,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",65+,female,239,692,35,,34,THB,43.03294,27,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",18-24,female,979,1154,25,,22,THB,39.43,2,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",18-24,female,445,553,15,,29,THB,36.31652866,8,,,15,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",45-54,female,534,721,24,,37,THB,35.55036422,6,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",65+,male,334,440,11,,13,THB,33.97256155,8,,,6,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",18-24,female,817,1146,36,,43,THB,33.10912457,24,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",45-54,male,146,221,22,,19,THB,32.98,18,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",55-64,male,73,150,25,,1,THB,32.92098069,25,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",25-34,unknown,90,218,26,,11,THB,32.51648139,24,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",45-54,female,264,334,34,,24,THB,31.24,32,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",55-64,male,131,178,11,,15,THB,30.35129938,9,,,12,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",55-64,male,55,132,9,,2,THB,29.42712228,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",55-64,male,383,809,521,,17,THB,28.53215993,11,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",55-64,female,219,315,16,,12,THB,27.08,15,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",65+,female,153,207,7,,11,THB,24.92930044,6,,,6,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",65+,male,62,103,17,,2,THB,24.28122089,16,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",65+,female,239,352,21,,19,THB,23.48,12,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",18-24,male,640,811,9,,15,THB,23.2401845,7,,,4,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",25-34,unknown,34,133,5,,0,THB,22.94775591,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",65+,female,346,625,443,,10,THB,22.93173597,3,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",65+,male,117,223,23,1,17,THB,19.53,11,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",55-64,male,113,166,18,,14,THB,19.19,17,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",25-34,unknown,179,524,16,,15,THB,18.4084244,12,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",55-64,female,331,461,13,,15,THB,18.25424373,2,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",45-54,male,292,427,18,,23,THB,17.78516256,6,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",65+,male,188,413,14,,13,THB,17.578946,11,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",25-34,male,293,399,15,,20,THB,17.56,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",65+,female,44,108,5,,0,THB,16.73836313,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",18-24,female,176,282,3,,5,THB,15.77038449,2,,,3,,,2025-09-01,2025-09-30
