"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",45-54,unknown,109,257,50,,9,THB,8.599662,5,,,4,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",25-34,unknown,145,285,57,,5,THB,7.39970916,2,,,1,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",55-64,unknown,80,166,44,,5,THB,7.06972213,5,,2,1,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",25-34,unknown,335,439,1,,1,THB,3.01989835,1,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",25-34,unknown,275,343,,,0,THB,2.45,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",35-44,unknown,262,310,,,0,THB,1.95993403,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",45-54,unknown,220,271,1,,1,THB,1.67994345,1,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",35-44,unknown,193,215,,,1,THB,1.46,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",55-64,unknown,159,207,,,0,THB,1.41,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",45-54,unknown,181,230,,,0,THB,1.4,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",55-64,unknown,147,203,,,0,THB,1.34995456,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",65+,unknown,117,144,,,0,THB,0.97996702,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",65+,unknown,95,123,,,0,THB,0.73,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",Unknown,unknown,0,0,2,,0,THB,0,,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",Unknown,unknown,0,0,1,,0,THB,0,,,,,,,2026-07-01,2026-07-31
