"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",45-54,female,1580,2876,67,,8,THB,194.68777482,59,,3,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",65+,female,2431,4218,71,,64,THB,181.62207568,65,2,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",45-54,male,750,1101,12,1,13,THB,178.89423807,1,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",55-64,male,1948,3249,46,1,43,THB,178.7159575,38,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",65+,male,2170,3826,46,,43,THB,167.29191191,45,,,1,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",65+,female,1586,2612,57,,52,THB,164.43561493,49,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",55-64,female,1003,1345,38,4,45,THB,159.25864941,3,1,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",65+,female,1892,2858,827,,177,THB,155.81222647,181,1,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",65+,male,1560,2616,36,,26,THB,154.11589013,30,,1,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",45-54,male,503,1054,47,1,27,THB,151.21,5,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",45-54,male,1129,2126,33,,3,THB,150.29828217,31,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",55-64,male,711,1010,12,,16,THB,133.30160339,,,1,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",65+,male,1380,2111,488,1,114,THB,128.41183493,116,,2,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",65+,female,1335,2335,54,,54,THB,126.20420702,48,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",65+,male,1115,1919,32,,33,THB,103.33344462,23,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",45-54,male,720,1453,151,,0,THB,96.96776297,59,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",55-64,female,699,1314,28,,2,THB,91.75895124,25,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",45-54,female,647,1347,149,,3,THB,89.07713126,65,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",55-64,male,576,1119,15,,2,THB,80.96907457,13,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",65+,female,687,1230,22,,7,THB,70.04919937,17,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",55-64,female,517,716,13,,10,THB,68.54,2,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",65+,male,407,740,23,,0,THB,59.3293219,23,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",25-34,unknown,295,747,65,,0,THB,57.75462367,37,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",65+,female,369,874,84,,0,THB,51.23410166,34,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",65+,male,240,389,13,1,3,THB,45.07,1,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",65+,male,299,744,52,,0,THB,43.94351799,18,,,,,2026-03-01,2026-03-31
