"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",25-34,unknown,5,19,1,,0,THB,1.88985513,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",35-44,unknown,127,172,2,,0,THB,1.60313843,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,unknown,16,37,3,,6,THB,1.49974455,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",35-44,unknown,152,152,7,,0,THB,1.29984922,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",65+,unknown,1,2,,,0,THB,1.09991568,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",65+,unknown,110,110,3,,0,THB,0.94595125,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",45-54,unknown,64,102,13,,0,THB,0.81990489,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",45-54,unknown,64,81,4,,0,THB,0.71693147,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,unknown,4,19,5,,5,THB,0.60989612,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",55-64,unknown,0,56,12,,0,THB,0.48994317,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",55-64,unknown,0,46,5,,0,THB,0.45803955,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",55-64,unknown,1,3,,,0,THB,0.39996934,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,unknown,14,14,6,,5,THB,0.37993529,2,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",65+,unknown,0,44,9,,1,THB,0.35995824,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,unknown,4,6,1,,1,THB,0.17996935,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",45-54,unknown,1,1,,,0,THB,0.12999004,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,unknown,2,2,,,0,THB,0.08998467,,,,,,,2025-02-01,2025-02-28
