"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",45-54,unknown,72,153,2,,3,THB,3.92193675,2,,,1,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,unknown,348,426,,,0,THB,2.79129626,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,unknown,272,380,,,0,THB,2.62121727,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",25-34,unknown,281,348,2,,2,THB,2.43083267,1,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",45-54,unknown,231,328,,,0,THB,2.27077784,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",25-34,unknown,24,32,30,,1,THB,2.19147563,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,unknown,219,305,,,0,THB,2.1710082,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",35-44,unknown,35,38,32,,1,THB,2.15144867,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",55-64,unknown,34,39,33,,2,THB,2.04137456,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",55-64,unknown,181,258,,,0,THB,1.82062364,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",35-44,unknown,222,267,,,1,THB,1.80061679,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",65+,unknown,53,119,,,2,THB,1.62080039,,,,2,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",45-54,unknown,32,34,25,,0,THB,1.60107808,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,unknown,140,191,,,0,THB,1.45067368,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",65+,unknown,114,158,,,0,THB,0.99033924,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",55-64,unknown,54,106,,,0,THB,0.88043478,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",65+,unknown,11,14,8,,0,THB,0.66044471,,,,,,2026-06-01,2026-06-18
