"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",25-34,unknown,28,42,3,,4,THB,2.3,1,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",45-54,unknown,16,31,1,,1,THB,2.15,1,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",35-44,unknown,16,43,23,,0,THB,1.72,,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",45-54,unknown,16,32,24,,1,THB,1.53,,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",55-64,unknown,16,19,2,,3,THB,1.18003203,,,1,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",65+,unknown,16,18,,,0,THB,1.04002823,,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",55-64,unknown,23,23,16,,0,THB,1.02,,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",35-44,unknown,16,23,,,0,THB,0.91,,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",55-64,unknown,0,7,,,1,THB,0.53,,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",65+,unknown,15,15,3,,0,THB,0.53,,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",65+,unknown,0,1,,,0,THB,0.02,,,,,,,2025-04-01,2025-04-30
