"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",45-54,female,37438,45818,31,,48,THB,316.05372884,12,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,female,11153,23815,68,,219,THB,304.26,63,2,1,74,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",65+,male,30679,42529,27,,42,THB,291.28422032,21,1,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,male,8457,15663,60,,153,THB,288.47,48,1,3,69,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",55-64,female,4337,8823,28,,109,THB,282.57657253,21,3,2,63,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",25-34,male,2689,5650,28,,85,THB,276.50664615,28,,,62,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",35-44,male,2109,4737,16,,47,THB,272.2566977,13,,2,45,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",65+,female,4269,9482,31,,101,THB,269.37673264,25,,1,37,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",45-54,male,2110,4671,33,,61,THB,254.53691263,26,2,4,45,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",25-34,female,2678,5535,16,,66,THB,230.81720034,15,,,45,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",65+,male,2869,6396,27,,99,THB,225.67726268,19,2,2,46,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,female,30876,33290,16,,35,THB,224.71700316,9,,,1,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",45-54,female,2854,5777,27,,72,THB,216.17737791,21,1,2,46,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",35-44,female,2398,4867,25,,62,THB,215.46738652,15,2,1,46,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",55-64,male,2781,5826,34,,56,THB,213.72740763,26,2,6,34,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,female,29094,32120,12,,25,THB,211.757176,8,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,male,7655,14771,42,,111,THB,194.17,37,,2,43,,,2026-06-01,2026-06-30
