"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",65+,male,1280,2632,52,,76,THB,29.90916254,22,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",65+,male,320,747,18,,20,THB,23.82166756,14,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,male,320,616,58,,71,THB,23.54968594,22,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",25-34,unknown,384,710,19,,25,THB,13.05963433,4,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",65+,male,208,336,37,,47,THB,11.00985317,9,,2,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",35-44,unknown,160,399,14,,19,THB,8.01977545,3,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,unknown,176,199,21,,22,THB,5.52992625,2,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,unknown,96,115,13,,21,THB,4.25994319,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",18-24,unknown,80,139,4,,5,THB,3.77026393,2,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",25-34,unknown,80,119,3,,4,THB,3.71025972,1,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",45-54,unknown,64,172,7,,10,THB,3.25990872,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,unknown,122,122,3,,5,THB,3.01995973,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",35-44,unknown,48,51,1,,2,THB,1.76012321,1,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,unknown,48,58,2,,2,THB,1.649978,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",55-64,unknown,0,54,3,,4,THB,1.1499678,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",45-54,unknown,24,24,1,,2,THB,0.90006301,1,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,unknown,15,15,2,,2,THB,0.69999066,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",65+,unknown,31,31,,,0,THB,0.50998572,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",55-64,unknown,0,10,,,0,THB,0.3800266,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",65+,unknown,0,8,1,,1,THB,0.24999667,,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",65+,unknown,7,7,,,0,THB,0.1600112,,,,,,,2025-06-01,2025-06-30
