"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",35-44,male,24,25,7,,0,THB,8.54,7,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",35-44,female,39,43,7,,0,THB,8.38,7,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",18-24,unknown,192,266,12,,14,THB,5.58394226,1,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",45-54,unknown,32,118,6,,8,THB,4.28302381,1,,,1,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",55-64,unknown,0,44,,,0,THB,1.09077008,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",45-54,unknown,7,7,,,0,THB,0.99001603,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",65+,unknown,25,25,,,0,THB,0.65045922,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",55-64,female,3,3,,,0,THB,0.56,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",35-44,unknown,2,2,,,0,THB,0.25,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",45-54,female,3,4,2,,0,THB,0.24,2,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",65+,unknown,0,2,,,0,THB,0.20000324,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",55-64,unknown,0,1,,,0,THB,0.09000146,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",45-54,male,1,1,,,0,THB,0.02,,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",65+,male,1,1,,,0,THB,0.01,,,,,,,2025-07-01,2025-07-31
