"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,female,390,438,51,,71,THB,15.03807853,4,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",65+,male,132,187,6,,7,THB,10.36,4,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,female,239,269,32,,41,THB,9.89215797,12,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,female,309,345,25,,40,THB,9.29263325,2,,,1,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,male,196,226,22,,29,THB,6.98446305,1,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",65+,unknown,192,382,16,,5,THB,6.92961311,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",45-54,unknown,0,307,22,,3,THB,5.28970467,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",25-34,unknown,48,142,7,,15,THB,4.7600595,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",35-44,unknown,32,85,4,,5,THB,4.30005375,4,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,male,104,123,12,,21,THB,4.10674437,5,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,female,90,94,13,,15,THB,3.50721964,3,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",25-34,unknown,40,53,,,1,THB,2.24,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",45-54,unknown,45,45,4,,6,THB,2.15002688,3,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",45-54,unknown,32,38,1,,2,THB,2.02,1,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",55-64,unknown,64,125,11,,0,THB,1.96989002,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",35-44,unknown,32,57,2,,2,THB,1.88,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,male,50,56,6,,7,THB,1.83854249,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",65+,female,41,45,12,,12,THB,1.61871676,3,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,male,55,62,4,,5,THB,1.4588435,3,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",65+,male,16,19,3,,3,THB,0.7993663,1,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,male,18,22,1,,1,THB,0.72942175,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",55-64,unknown,17,17,2,,2,THB,0.41000513,2,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",65+,unknown,0,5,,,0,THB,0.31000388,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,unknown,4,4,,,0,THB,0.15987326,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",65+,unknown,0,3,,,0,THB,0.14,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",55-64,unknown,0,3,,,0,THB,0.07,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,unknown,1,1,,,0,THB,0.05995247,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,unknown,1,1,,,0,THB,0.01998416,,,,,,,2025-03-01,2025-03-31
